"timestamp";"sensor_id";"data"
"2022-10-25 14:21:07";1;158
"2022-10-25 14:21:13";1;158
"2022-10-25 14:21:19";1;158
"2022-10-25 14:34:43";1;145
"2022-10-25 14:34:48";1;145
"2022-10-25 14:34:55";1;145
"2022-10-25 14:35:01";1;146
"2022-10-25 14:35:06";1;146
"2022-10-25 14:35:12";1;147
"2022-10-25 14:35:19";1;147
"2022-10-25 14:35:25";1;147
"2022-10-25 14:35:31";1;142
"2022-10-25 14:35:37";1;113
"2022-10-25 14:36:23";1;180
"2022-10-25 14:36:29";1;182
"2022-10-25 14:36:35";1;182
"2022-10-25 14:36:41";1;182
"2022-10-25 14:36:48";1;181
"2022-10-25 14:36:53";1;180
"2022-10-25 14:37:00";1;179
"2022-10-25 14:37:06";1;178
"2022-10-25 14:37:12";1;176
"2022-10-25 14:37:18";1;175
"2022-10-25 14:37:24";1;174
"2022-10-25 14:37:31";1;173
"2022-10-25 14:37:37";1;172
"2022-10-25 14:37:43";1;172
"2022-10-25 14:37:49";1;171
"2022-10-25 14:37:55";1;171
"2022-10-25 14:38:01";1;171
"2022-10-25 14:38:07";1;171
"2022-10-25 14:38:14";1;171
"2022-10-25 14:38:20";1;171
"2022-10-25 14:38:26";1;170
"2022-10-25 14:41:40";1;170
"2022-10-25 14:41:46";1;169
"2022-10-25 14:41:52";1;168
"2022-10-25 14:41:58";1;167
"2022-10-25 14:42:05";1;168
"2022-10-25 14:42:11";1;168
"2022-10-25 14:42:17";1;168
"2022-10-25 14:42:23";1;169
"2022-10-25 14:42:29";1;169
"2022-10-25 14:42:34";1;169
"2022-10-25 14:42:41";1;169
"2022-10-25 14:42:47";1;169
"2022-10-25 14:42:53";1;170
"2022-10-25 14:42:59";1;171
"2022-10-25 14:43:05";1;172
"2022-10-25 14:43:12";1;172
"2022-10-25 14:43:18";1;173
"2022-10-25 14:43:23";1;174
"2022-10-25 14:43:30";1;175
"2022-10-25 14:43:36";1;176
"2022-10-25 14:43:42";1;177
"2022-10-25 14:43:48";1;178
"2022-10-25 14:43:54";1;179
"2022-10-25 14:44:00";1;180
"2022-10-25 14:44:06";1;180
"2022-10-25 14:44:12";1;181
"2022-10-25 14:44:18";1;181
"2022-10-25 14:44:23";1;180
"2022-10-25 14:44:30";1;180
"2022-10-25 14:44:37";1;179
"2022-10-25 14:44:43";1;178
"2022-10-25 14:44:49";1;176
"2022-10-25 14:44:56";1;175
"2022-10-25 14:45:02";1;174
"2022-10-25 14:45:08";1;174
"2022-10-25 14:45:15";1;173
"2022-10-25 14:45:21";1;174
"2022-10-25 14:45:27";1;174
"2022-10-25 14:45:34";1;175
"2022-10-25 14:45:40";1;176
"2022-10-25 14:45:45";1;177
"2022-10-25 14:45:51";1;178
"2022-10-25 14:45:58";1;180
"2022-10-25 14:46:05";1;183
"2022-10-25 14:46:11";1;186
"2022-10-25 14:46:20";1;189
"2022-10-25 14:46:26";1;192
"2022-10-25 14:46:32";1;194
"2022-10-25 14:46:38";1;196
"2022-10-25 14:46:47";1;198
"2022-10-25 14:46:52";1;199
"2022-10-25 14:46:59";1;200
"2022-10-25 14:47:05";1;200
"2022-10-25 14:47:11";1;201
"2022-10-25 14:47:18";1;200
"2022-10-25 14:47:25";1;200
"2022-10-25 14:47:31";1;199
"2022-10-25 14:47:37";1;199
"2022-10-25 14:47:43";1;198
"2022-10-25 14:47:49";1;198
"2022-10-25 14:47:56";1;198
"2022-10-25 14:48:03";1;197
"2022-10-25 14:48:09";1;197
"2022-10-25 14:48:16";1;196
"2022-10-25 14:48:21";1;195
"2022-10-25 14:48:28";1;195
"2022-10-25 14:48:35";1;194
"2022-10-25 14:48:41";1;194
"2022-10-25 14:48:47";1;194
"2022-10-25 14:48:53";1;194
"2022-10-25 14:48:59";1;194
"2022-10-25 14:49:05";1;193
"2022-10-25 14:49:12";1;192
"2022-10-25 14:49:18";1;191
"2022-10-25 14:49:28";1;190
"2022-10-25 14:49:34";1;189
"2022-10-25 14:49:40";1;188
"2022-10-25 14:49:46";1;187
"2022-10-25 14:49:53";1;186
"2022-10-25 14:49:58";1;185
"2022-10-25 14:50:04";1;184
"2022-10-25 14:50:11";1;183
"2022-10-25 14:50:17";1;183
"2022-10-25 14:50:24";1;183
"2022-10-25 14:50:30";1;182
"2022-10-25 14:50:37";1;182
"2022-10-25 14:50:43";1;182
"2022-10-25 14:50:49";1;183
"2022-10-25 14:50:56";1;183
"2022-10-25 14:51:03";1;184
"2022-10-25 14:51:09";1;185
"2022-10-25 14:51:16";1;185
"2022-10-25 14:51:22";1;186
"2022-10-25 14:51:28";1;185
"2022-10-25 14:51:33";1;185
"2022-10-25 14:51:40";1;184
"2022-10-25 14:51:45";1;184
"2022-10-25 14:51:51";1;184
"2022-10-25 14:51:57";1;184
"2022-10-25 14:52:04";1;186
"2022-10-25 14:52:10";1;187
"2022-10-25 14:52:15";1;188
"2022-10-25 14:52:22";1;189
"2022-10-25 14:52:28";1;189
"2022-10-25 14:52:33";1;190
"2022-10-25 14:52:40";1;190
"2022-10-25 14:52:46";1;236
"2022-10-25 14:52:51";1;366
"2022-10-25 14:52:57";1;499
"2022-10-25 14:53:27";1;419
"2022-10-25 14:53:33";1;284
"2022-10-25 14:53:39";1;205
"2022-10-25 14:53:45";1;202
"2022-10-25 14:53:51";1;201
"2022-10-25 14:53:57";1;200
"2022-10-25 14:54:03";1;199
"2022-10-25 14:54:10";1;198
"2022-10-25 14:54:17";1;196
"2022-10-25 14:54:23";1;195
"2022-10-25 14:54:30";1;194
"2022-10-25 14:54:36";1;193
"2022-10-25 14:54:42";1;193
"2022-10-25 14:54:48";1;193
"2022-10-25 14:54:55";1;193
"2022-10-25 14:55:01";1;194
"2022-10-25 14:55:08";1;193
"2022-10-25 14:55:14";1;193
"2022-10-25 14:55:20";1;192
"2022-10-25 14:55:25";1;191
"2022-10-25 14:55:32";1;189
"2022-10-25 14:55:38";1;187
