"timestamp";"light_id";"action";"state";"luminance"
"2022-10-25 14:50:37";1;"update";1;9600
"2022-10-25 14:51:06";1;"update";1;9400
"2022-10-25 14:51:07";1;"update";1;2400
"2022-10-25 14:51:15";1;"update";1;1000
"2022-10-25 14:51:26";1;"update";1;1200
"2022-10-25 14:51:27";1;"update";1;3400
"2022-10-25 14:51:28";1;"update";1;8200
"2022-10-25 14:51:29";1;"update";1;8400
"2022-10-25 14:52:02";1;"update";1;8300
"2022-10-25 14:52:03";1;"update";1;1800
"2022-10-25 14:52:14";1;"update";1;1900
"2022-10-25 14:52:16";1;"update";1;5100
"2022-10-25 14:52:32";1;"update";1;5300
"2022-10-25 14:52:33";1;"update";1;7100
"2022-10-25 14:52:39";1;"update";1;9100
"2022-10-25 14:52:40";1;"update";1;2000
"2022-10-25 14:52:51";1;"update";1;1000
"2022-10-25 14:52:52";1;"update";1;2300
"2022-10-25 14:52:54";1;"update";1;9100
"2022-10-25 14:53:45";1;"update";1;9200
"2022-10-25 14:53:46";1;"update";1;7500
"2022-10-25 14:53:47";1;"update";1;2200
"2022-10-25 14:56:52";1;"update";1;500
"2022-10-25 14:56:53";1;"update";1;600
"2022-10-25 14:56:59";1;"update";1;800
"2022-10-25 14:57:00";1;"update";1;1600
"2022-10-25 14:57:01";1;"update";1;5800
"2022-10-25 14:57:02";1;"update";1;7000
"2022-10-25 14:57:03";1;"update";1;7800
"2022-10-25 14:57:04";1;"update";1;9000
"2022-10-25 14:58:25";1;"update";1;8900
"2022-10-25 14:58:26";1;"update";1;6800
"2022-10-25 14:58:27";1;"update";1;800
"2022-10-25 14:58:46";1;"update";1;800
"2022-10-25 14:58:47";1;"update";1;4100
"2022-10-25 14:58:48";1;"update";1;8300
"2022-10-25 14:58:49";1;"update";1;8700
"2022-10-25 14:58:50";1;"update";1;9000
"2022-10-25 14:59:24";1;"update";1;8900
"2022-10-25 14:59:25";1;"update";1;6400
"2022-10-25 14:59:34";1;"update";1;300
"2022-10-25 14:59:35";1;"update";1;9500
"2022-10-25 15:09:10";1;"update";1;500
"2022-10-25 15:09:12";1;"update";1;2200
"2022-10-25 15:09:13";1;"update";1;5100
"2022-10-25 15:09:14";1;"update";1;6000
"2022-10-25 15:09:17";1;"update";1;9000
